id;placed_date;status;code;invoice_id;customer
1;2020-04-23T21:01:50;COMPLETED;Georgia calculate withdrawal;88795;one-to-one e-business
2;2020-04-24T01:52:42;CANCELLED;cross-platform Supervisor;47588;Concrete
3;2020-04-23T22:55:27;CANCELLED;Investment Account;79493;revolutionize harness Kyat
4;2020-04-23T20:06:43;COMPLETED;Decentralized Bike;98183;IB Industrial Credit Card Account
5;2020-04-24T03:30:46;CANCELLED;Cotton Egyptian Pound;70149;contingency target
6;2020-04-23T21:56:39;COMPLETED;input Handmade Metal Table;17515;Human
7;2020-04-23T07:29:44;CANCELLED;payment;42230;value-added Cambridgeshire mission-critical
8;2020-04-23T06:34:35;PENDING;connecting hacking Future-proofed;5405;hack green Streamlined
9;2020-04-23T20:08:09;PENDING;back up front-end eco-centric;31482;artificial intelligence card incubate
10;2020-04-23T15:35:50;PENDING;Assistant Papua New Guinea West Virginia;6025;Gloves quantify Rupiah
